Job Title,Place,Employer,Qualifications,Skills,Job Link
Netherrealm Software Engineering Co-op,"Chicago, IL, USA",Warner Bros.,"Game Engineering, Software QA & Testing, Software Engineering",['C/C++'],https://simplify.jobs/p/f82a68db-f70e-4fc0-b4a6-f639680c3f10/Netherrealm-Software-Engineering-Co-op-Summer-2025-June-December
Frontend Engineering Apprentice,Remote in USA,Fetch,"Frontend Engineering, Software Engineering","['JavaScript', 'React.js', 'Git', 'TypeScript', 'HTML/CSS']",https://simplify.jobs/p/d7f73fb1-2cc7-467d-8bc5-7a8813b41f1c/Frontend-Engineering-Apprentice
Frontend Engineer Internship,Remote in USA,Coalition,"Frontend Engineering, Software Engineering","['Agile', 'Python', 'Data Structures & Algorithms', 'Go']",https://simplify.jobs/p/d459dd05-75c6-4465-b200-6b60caae21a6/Frontend-Engineer-Internship
Software Engineering Summer Analyst,"Chicago, IL, USA",Tempus,"Software QA & Testing, Finance & Banking, Software Engineering","['JavaScript', 'React.js', 'MySQL', 'Postgres', 'TypeScript', 'HTML/CSS']",https://simplify.jobs/p/ba27d431-99b5-4c21-bf96-e0ab98b8cf4f/Software-Engineering-Summer-Analyst-Testing-Pipeline
Campus UI Software Engineer – Intern,"Chicago, IL, USA",Jump Trading,"Web Development, Software Engineering, UI/UX & Design","['Python', 'JavaScript', 'Data Structures & Algorithms', 'Web Development', 'Linux/Unix']",https://simplify.jobs/p/b04ab8c0-6ce1-4f7d-97ea-0e5149889bd9/Campus-UI-Software-Engineer--Intern
Summer Intern,"Chicago, IL, USA",Vizient,"Full-Stack Engineering, Software QA & Testing, Software Engineering",[],https://simplify.jobs/p/7cd4ff03-3bd1-4424-a14a-8123628afccd/Summer-Intern-Software-Engineering
Full Stack Software Engineer,Remote in USA,Symmetry Systems,"Full-Stack Engineering, Software Engineering","['Python', 'JavaScript', 'Data Analysis']",https://simplify.jobs/p/6bc46a49-b867-4a80-9ba6-6ed23bc0b0cb/Full-Stack-Software-Engineer
